,Domain,Have IP,Have @,URL Length,URL Depth,Redirection,https Domain,TinyURL,Prefix/Suffix,Have client,Have admin,Have login,Have server,.php,.html,.info,.txt,.js,.exe,Num of periods,Is encoded,Num of encoded char,Num of parameters,Num of digits,Num of spec char,iFrame,Mouse Over,Right Click,Web Forwards,Number of page tokens,number of sentences,number of html tags,number of whitespace,url Is Live,HTML Length,Num Objects,Num Embeds,Num Images,Num Links,Num Titles,Num Script,Special Characters,Script To Special Chars Ratio,Script To body Ratio,Body To Special Char Ratio,Label
0,graphicriver.net,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,25,1,0,0,1,21444,1853,3247,0,1,24836,0,0,49,691,42,13135,6400,2.05234375,0.5288693831534869,0.257690449347721,0
1,ecnavi.jp,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,3,22,13,1,0,0,1,1075,136,236,0,1,3008,0,0,4,66,3,2034,818,2.486552567237164,0.6761968085106383,0.2719414893617021,0
2,hubpages.com,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,9,1,0,0,1,4531,2634,486,0,1,39426,0,0,1,100,27,32987,10451,3.156348674767965,0.836681377771014,0.2650788819560696,0
3,extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,5,0,19,18,1,0,0,1,32,9,8,0,0,229,0,0,0,0,1,0,52,0.0,0.0,0.2270742358078602,0
4,icicibank.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,17,7,1,0,0,1,4880,981,1412,0,1,15147,0,0,117,219,23,7944,3468,2.290657439446367,0.5244602891661715,0.2289562289562289,0
5,nypost.com,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,6,1,0,0,1,12290,6300,1141,0,1,116693,0,0,17,162,35,48758,29309,1.663584564468252,0.4178314037688636,0.2511633088531446,0
6,kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,10,12,1,0,0,1,7037,1550,863,0,1,32276,0,0,30,239,41,21455,9688,2.2145953757225434,0.6647354071136448,0.300161110422605,0
7,thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,14,1,0,0,1,40,7,11,0,0,169,0,0,0,0,2,0,29,0.0,0.0,0.1715976331360946,0
8,tobogo.net,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,9,5,17,1,0,0,1,59,11,5,0,0,1287,0,0,0,0,0,1287,148,8.695945945945946,1.0,0.1149961149961149,0
9,akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,22,0,30,23,1,0,0,1,4190,658,715,0,1,18321,0,0,32,161,38,12735,4464,2.852822580645161,0.6951039790404454,0.2436548223350254,0
10,tunein.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,11,1,0,0,0,7548,5023,250,0,1,88122,0,0,2,37,1,87675,19384,4.52306025588114,0.9949274868931708,0.2199677719525203,0
11,tune.pk,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,1,0,0,1,24,3,6,0,0,146,0,0,0,0,1,0,25,0.0,0.0,0.1712328767123287,0
13,mic.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7,1,0,0,0,7090,1209,470,0,1,60553,0,0,15,64,35,41236,15792,2.6111955420466058,0.6809902069261639,0.26079632718445,0
14,thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,12,1,0,0,1,40,7,11,0,0,169,0,0,0,0,2,0,29,0.0,0.0,0.1715976331360946,0
15,couchtuner.eu.com,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,9,8,1,0,0,1,9,1,8,0,0,37,0,0,0,0,1,0,4,0.0,0.0,0.1081081081081081,0
17,venturebeat.com,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,18,1,0,0,1,4446,3027,587,0,1,18177,0,0,2,102,16,10418,4515,2.307419712070875,0.5731418825988887,0.2483908235682455,0
18,allegro.pl,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,4,13,17,1,0,0,1,15,8,8,0,0,352,0,0,0,0,0,213,81,2.6296296296296298,0.6051136363636364,0.2301136363636363,0
19,allegro.pl,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,5,15,18,1,0,0,1,15,8,8,0,0,352,0,0,0,0,0,213,82,2.597560975609756,0.6051136363636364,0.2329545454545454,0
21,metro.co.uk,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,9,1,0,0,1,8061,4328,648,0,1,141769,0,0,21,143,16,21495,29625,0.7255696202531645,0.1516198886921682,0.2089666993489408,0
22,atwiki.jp,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,0,11,22,1,0,0,1,2348,169,160,0,1,18072,0,0,2,30,0,469,4306,0.1089177891314445,0.0259517485613103,0.2382691456396635,0
24,nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,12,1,0,0,1,102,20,23,0,0,275,0,0,3,1,2,0,51,0.0,0.0,0.1854545454545454,0
26,spankbang.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,1,0,0,1,4796,1513,1288,0,0,5534,0,0,75,211,5,1720,1183,1.4539306846999154,0.3108059269967473,0.2137694253704373,0
27,torcache.net,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,27,1,1,0,0,1,423,75,39,0,1,6946,0,0,0,1,1,6871,1061,6.475966069745523,0.9892024186582206,0.1527497840483731,0
28,mic.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,10,1,0,0,1,3362,654,278,0,1,29452,0,0,6,52,1,21649,7752,2.7926986584107327,0.7350604373217439,0.2632079315496401,0
29,thenextweb.com,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8,1,0,0,1,40,7,11,0,0,169,0,0,0,0,2,0,29,0.0,0.0,0.1715976331360946,0
31,depositphotos.com,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,2,1,11,9,1,0,0,1,456,204,110,0,1,219080,0,0,0,2,1,218781,904,242.01438053097343,0.9986352017527844,0.0041263465400766,0
32,serverfault.com,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,8,1,0,0,1,11918,6245,1069,0,1,123866,0,0,10,187,18,110201,40302,2.734380427770334,0.8896791694250238,0.3253677361019166,0
33,kakaku.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,7,1,0,0,1,5627,1166,2093,0,1,15807,0,0,49,261,11,8852,4187,2.114162885120612,0.5600050610489024,0.2648826469285759,0
34,indianexpress.com,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,1,6369,1248,1160,0,1,35743,0,0,69,351,7,23069,9405,2.4528442317916004,0.6454130878773466,0.2631284447304367,0
35,nypost.com,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,8,1,0,0,1,12416,7453,1183,0,1,113322,0,0,18,165,38,47714,28558,1.670775264374256,0.4210479871516563,0.2520075536965461,0
36,distractify.com,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,1,0,0,1,1761,1693,174,0,0,32602,0,0,4,36,1,15924,8304,1.917630057803468,0.4884362922520091,0.2547083001042881,0
37,sourceforge.net,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,1,0,0,1,16287,17436,2834,0,1,43680,0,0,47,406,28,21624,11047,1.9574545125373404,0.4950549450549451,0.2529075091575091,0
38,babal.net,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,0,33,27,1,0,0,1,23,3,6,0,0,71,0,0,0,0,1,0,14,0.0,0.0,0.1971830985915492,0
39,serverfault.com,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,10,1,0,0,1,12331,6305,1183,0,1,123764,0,0,12,195,17,110917,40499,2.738758981703252,0.8961976018874632,0.3272276267735367,0
40,cookpad.com,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,1,17,8,1,0,0,1,182,32,56,0,1,305,0,0,1,7,2,2,35,0.0571428571428571,0.0065573770491803,0.1147540983606557,0
41,plarium.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,1,5426,5142,500,0,0,272448,0,0,9,141,2,2029,79595,0.0254915509768201,0.0074472926943857,0.2921474923655156,0
43,grantland.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,1,0,0,1,4688,604,566,0,1,35164,0,0,9,119,31,9646,9287,1.0386561860665446,0.2743146399726993,0.2641053350017063,0
44,allegro.pl,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,45,20,1,0,0,1,15,8,8,0,0,352,0,0,0,0,0,213,81,2.6296296296296298,0.6051136363636364,0.2301136363636363,0
45,nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,13,1,0,0,1,102,20,23,0,0,275,0,0,3,1,2,0,51,0.0,0.0,0.1854545454545454,0
46,allegro.pl,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,4,11,16,1,0,0,1,15,8,8,0,0,352,0,0,0,0,0,213,81,2.6296296296296298,0.6051136363636364,0.2301136363636363,0
47,europa.eu,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,1,0,0,0,2396,353,589,0,1,7691,0,0,5,137,11,1900,1554,1.2226512226512227,0.2470419971395137,0.2020543492393706,0
48,extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,11,8,1,0,0,1,32,7,8,0,0,192,0,0,0,0,1,0,40,0.0,0.0,0.2083333333333333,0
50,distractify.com,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,1,0,0,1,1761,1693,174,0,0,32602,0,0,4,36,1,15924,8304,1.917630057803468,0.4884362922520091,0.2547083001042881,0
51,kenh14.vn,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,10,1,0,0,1,11859,2955,1232,0,1,41978,0,0,58,198,52,16787,11492,1.460755308040376,0.3998999475915956,0.2737624469960455,0
52,twitter.com,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,2,10,28,1,0,0,1,804,949,123,0,1,89556,0,0,1,6,1,85573,22816,3.7505697755960727,0.9555250346152128,0.2547679664120774,0
53,nesn.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,9,1,0,0,1,12576,2258,2081,0,1,79466,0,0,13,349,48,51803,21309,2.4310385283213667,0.6518888581280045,0.2681524173860519,0
54,fishki.net,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,7,7,1,0,0,1,34022,29276,3436,0,1,100709,0,0,201,707,1,81185,29412,2.760267917856657,0.8061345063499786,0.2920493699669344,0
56,akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,20,0,28,22,1,0,0,1,5382,750,763,0,1,26328,0,0,32,163,40,12735,5926,2.149004387445157,0.4837055606198723,0.2250835612275904,0
58,getpocket.com,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,1,0,0,1,736,147,144,0,1,3977,0,0,0,24,5,3045,986,3.088235294117647,0.7656525018858436,0.2479255720392255,0
59,mylust.com,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,8,1,0,0,1,4633,557,749,0,1,13973,0,0,58,141,3,7804,3504,2.2271689497716896,0.5585056895441208,0.2507693408716811,0
60,censor.net.ua,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,14,1,0,0,1,130,66,28,0,0,2075,0,0,1,2,1,0,470,0.0,0.0,0.2265060240963855,0
61,pornsharing.com,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,14,1,0,0,1,9,1,8,0,0,37,0,0,0,0,1,0,4,0.0,0.0,0.1081081081081081,0
62,genius.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,36,1,0,0,1,20691,3497,799,0,1,258693,0,0,4,91,4,146447,66787,2.1927470914998426,0.5661034508084872,0.2581708820880348,0
63,sourceforge.net,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,6,1,0,0,1,10872,17377,2004,0,1,35053,0,0,12,283,28,21687,9356,2.317977768277041,0.6186916954326306,0.2669101075514221,0
64,codecanyon.net,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,8,1,0,0,0,6927,1414,1168,0,0,34849,0,0,5,394,4,28702,10086,2.845726749950426,0.8236104335848948,0.2894200694424517,0
65,qz.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,9,1,0,0,1,6586,4011,880,0,1,69146,0,0,17,109,1,34043,18092,1.881660402387796,0.4923350591502039,0.2616492638764354,0
66,kenh14.vn,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25,15,1,0,0,1,10481,2913,1098,0,1,39838,0,0,40,202,53,16799,10864,1.54629970544919,0.4216828154023796,0.2727044530347909,0
67,uproxx.com,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,14,1,0,0,1,5403,1175,647,0,1,25591,0,0,31,130,1,12383,7296,1.6972313596491229,0.4838810519323199,0.2851002305498026,0
68,babal.net,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60,0,73,66,1,0,0,1,23,3,6,0,0,71,0,0,0,0,1,0,14,0.0,0.0,0.1971830985915492,0
69,mic.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,12,1,0,0,1,1705,477,260,0,1,18159,0,0,6,32,1,14475,4815,3.006230529595016,0.7971253923674211,0.2651577730051214,0
70,torcache.net,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,33,1,1,0,0,1,423,75,39,0,1,6946,0,0,0,1,1,6871,1060,6.4820754716981135,0.9892024186582206,0.1526058162971494,0
71,paytm.com,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,11,1,0,0,1,9,1,8,0,0,33,0,0,0,0,1,0,4,0.0,0.0,0.1212121212121212,0
73,torcache.net,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,33,1,1,0,0,1,417,75,39,0,1,6908,0,0,0,1,1,6833,1047,6.526265520534862,0.9891430225825132,0.1515634047481181,0
74,thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,7,1,0,0,1,40,7,11,0,0,169,0,0,0,0,2,0,29,0.0,0.0,0.1715976331360946,0
75,extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,12,1,1,0,0,1,32,17,8,0,0,210,0,0,0,0,1,0,43,0.0,0.0,0.2047619047619047,0
76,genius.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,12,1,0,0,1,15213,3502,1001,0,1,277757,0,0,4,121,4,168772,67774,2.490217487532092,0.6076246503238443,0.2440046515479358,0
77,thenextweb.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,9,1,0,0,1,40,7,11,0,0,169,0,0,0,0,2,0,29,0.0,0.0,0.1715976331360946,0
78,kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,10,12,1,0,0,1,7565,1578,922,0,1,32673,0,0,35,255,50,21449,9812,2.185996738687322,0.6564747650965629,0.3003091237413154,0
79,sourceforge.net,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,13,1,0,0,1,17461,17994,3239,0,1,40980,0,0,49,457,28,21622,10546,2.0502560212402807,0.5276232308443143,0.25734504636408,0
80,nypost.com,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7,1,0,0,1,12788,7483,1199,0,1,115952,0,0,16,173,41,48702,29092,1.6740684724322838,0.4200186283979578,0.2508969228646336,0
81,ap.org,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,9,1,0,0,1,1552,205,401,0,0,4226,0,0,1,105,9,2522,1059,2.3814919735599624,0.5967818267865594,0.2505915759583531,0
82,indianexpress.com,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10,1,0,0,1,5143,1137,1117,0,1,29939,0,0,65,342,7,20200,8225,2.4559270516717326,0.6747052339757507,0.2747252747252747,0
83,extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,3,1,0,0,1,32,14,8,0,0,208,0,0,0,0,1,0,42,0.0,0.0,0.2019230769230769,0
85,web.de,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,14,1,0,0,1,6781,4768,1108,0,0,136779,0,0,0,202,1,6953,29109,0.2388608334192174,0.050833826830142,0.2128177571118373,0
86,noticias.uol.com.br,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,10,3,1,0,0,1,12363,13078,979,0,1,321572,0,0,69,144,20,67736,72903,0.9291250017146072,0.2106402298707599,0.2267081711094249,0
87,bdnews24.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,10,1,0,0,1,7252,1190,770,0,1,36896,0,0,42,182,11,21155,9952,2.125703376205788,0.5733683868169991,0.2697311361665221,0
88,kenh14.vn,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,11,1,0,0,1,11300,2976,1163,0,1,43559,0,0,48,209,53,16871,11875,1.4207157894736842,0.3873137583507426,0.2726187469868454,0
89,codecanyon.net,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,8,1,0,0,0,6989,1415,1179,0,0,34722,0,0,5,395,4,28558,10061,2.838485240035782,0.8224756638442486,0.2897586544553885,0
90,tunein.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,9,1,0,0,1,7548,5023,250,0,1,88122,0,0,2,37,1,87675,19384,4.52306025588114,0.9949274868931708,0.2199677719525203,0
91,nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,12,1,0,0,1,102,20,23,0,0,275,0,0,3,1,2,0,51,0.0,0.0,0.1854545454545454,0
92,kickass.to,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,14,9,1,0,0,1,25,2,6,0,0,74,0,0,1,0,0,0,12,0.0,0.0,0.1621621621621621,0
93,weathernews.jp,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,17,6,1,0,0,1,429,117,37,0,1,4053,0,0,0,1,3,3617,1381,2.619116582186821,0.8924253639279546,0.3407352578337034,0
94,atwiki.jp,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,0,21,22,1,0,0,1,923,160,160,0,1,6322,0,0,2,30,0,469,1254,0.3740031897926635,0.0741853843720341,0.1983549509648845,0
95,plarium.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
96,chaturbate.com,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,1,0,0,1,683,112,69,0,0,5209,0,0,0,1,5,3516,1216,2.8914473684210527,0.6749856018429641,0.2334421194087156,0
