Domain,Have IP,Have @,URL Length,URL Depth,Redirection,https Domain,TinyURL,Prefix/Suffix,Have client,Have admin,Have login,Have server,.php,.html,.info,.txt,.js,.exe,Num of periods,Is encoded,Num of encoded char,Num of parameters,Num of digits,Num of spec char,iFrame,Mouse Over,Right Click,Web Forwards,Number of page tokens,number of sentences,number of html tags,number of whitespace,url Is Live,HTML Length,Num Objects,Num Embeds,Num Images,Num Links,Num Titles,Num Script,Special Characters,Script To Special Chars Ratio,Script To body Ratio,Body To Special Char Ratio,Label
graphicriver.net,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,25,1,0,0,1,21444,1853,3247,0,1,24836,0,0,49,691,42,13135,6400,2.05234375,0.5288693831534869,0.257690449347721,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,3,22,13,1,0,0,1,1075,136,236,0,1,3008,0,0,4,66,3,2034,818,2.486552567237164,0.6761968085106383,0.2719414893617021,0
hubpages.com,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,9,1,0,0,1,4531,2634,486,0,1,39426,0,0,1,100,27,32987,10451,3.156348674767965,0.836681377771014,0.2650788819560696,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,5,0,19,18,1,0,0,1,32,9,8,0,0,229,0,0,0,0,1,0,52,0.0,0.0,0.2270742358078602,0
icicibank.com,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,17,7,1,0,0,1,4880,981,1412,0,1,15147,0,0,117,219,23,7944,3468,2.290657439446367,0.5244602891661715,0.2289562289562289,0
nypost.com,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,6,1,0,0,1,12290,6300,1141,0,1,116693,0,0,17,162,35,48758,29309,1.663584564468252,0.4178314037688636,0.2511633088531446,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,10,12,1,0,0,1,7037,1550,863,0,1,32276,0,0,30,239,41,21455,9688,2.2145953757225434,0.6647354071136448,0.300161110422605,0
thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,14,1,0,0,1,40,7,11,0,0,169,0,0,0,0,2,0,29,0.0,0.0,0.1715976331360946,0
tobogo.net,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,9,5,17,1,0,0,1,59,11,5,0,0,1287,0,0,0,0,0,1287,148,8.695945945945946,1.0,0.1149961149961149,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,22,0,30,23,1,0,0,1,4190,658,715,0,1,18321,0,0,32,161,38,12735,4464,2.852822580645161,0.6951039790404454,0.2436548223350254,0
